
line,dateIni,dateEnd,label,nameTo,nameFrom,parada,secuencia,sentido,distancia,descparada,descpostal,posX,posY
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4514,1,1,0,Cristo Rey                                        ,"Isaac Peral, frente al Nº 40.                          ",439221.0,4476870.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4022,2,1,295,Isaac Peral-Fernández de los Ríos                 ,Isaac Peral frente al Nº 8                             ,439177.0,4476578.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,3687,3,1,485,Moncloa                                           ,Arcipreste de Hita con C/ Fernando el Catolico         ,439204.0,4476389.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,737,4,1,759,Altamirano                                        ,"Princesa, 75                                           ",439247.0,4476174.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,735,5,1,1019,Argüelles                                         ,"Princesa, 47 ( Alberto Aguilera )                      ",439371.0,4475945.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,193,6,1,1296,Princesa-Rey Francisco                            ,"Princesa, 29 (Evaristo San Miguel )                    ",439500.0,4475704.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,173,7,1,1541,Ventura Rodríguez                                 ,"Princesa, 15-17 (Ventura Rodríguez)                    ",439617.0,4475489.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,741,8,1,1715,Plaza de España                                   ,"Princesa, 1                                            ",439700.75,4475337.5
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,171,9,1,1939,Gran Vía-Plaza de España                          ,"Gran Vía, 71                                           ",439836.0,4475153.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,169,10,1,2275,Santo Domingo                                     ,"Gran Vía, 47                                           ",440094.0,4474939.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,723,11,1,2569,Gran Vía-Callao                                   ,"Gran Vía, 33                                           ",440361.46875,4474829.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,724,12,1,2842,Gran Vía-Montera                                  ,"Gran Vía, 21                                           ",440633.71875,4474808.0
